policy,n_cores,u_per_core,qos_mean
ffd+slack,8,0.25,1.0
ffd+slack,8,0.5,1.0
ffd+slack,8,0.75,0.8538896255615992
ffd+slack,8,0.85,0.4533662809190058
ffd+slack,8,0.95,0.1177160379835363
ffd+slack,8,1.0,0.008891171792152701
ffd+slack,16,0.25,1.0
ffd+slack,16,0.5,1.0
ffd+slack,16,0.75,0.8390246954448024
ffd+slack,16,0.85,0.28009750378845244
ffd+slack,16,0.95,0.06190828882658951
ffd+slack,16,1.0,0.0
ffd+slack,32,0.25,1.0
ffd+slack,32,0.5,1.0
ffd+slack,32,0.75,0.8471970659405385
ffd+slack,32,0.85,0.2992545665175582
ffd+slack,32,0.95,0.05532471375035941
ffd+slack,32,1.0,0.000686813186813175
ga+slack,8,0.25,1.0
ga+slack,8,0.5,1.0
ga+slack,8,0.75,0.9966836206896552
ga+slack,8,0.85,0.1935696394858472
ga+slack,8,0.95,0.16410296706600402
ga+slack,8,1.0,0.011555645476363225
ga+slack,16,0.25,1.0
ga+slack,16,0.5,1.0
ga+slack,16,0.75,1.0
ga+slack,16,0.85,0.2608304719051461
ga+slack,16,0.95,0.39037320140910964
ga+slack,16,1.0,0.0027932098765432
ga+slack,32,0.25,1.0
ga+slack,32,0.5,1.0
ga+slack,32,0.75,0.9661274815552182
ga+slack,32,0.85,0.4578333135000071
ga+slack,32,0.95,0.4959080120644442
ga+slack,32,1.0,0.0035439998058668497
rl+rl,8,0.25,1.0
rl+rl,8,0.5,1.0
rl+rl,8,0.75,0.9792078359953273
rl+rl,8,0.85,0.20259524004319926
rl+rl,8,0.95,0.19092730811400857
rl+rl,8,1.0,0.0415817778805444
rl+rl,16,0.25,1.0
rl+rl,16,0.5,1.0
rl+rl,16,0.75,0.9869559503130573
rl+rl,16,0.85,0.14403227403357838
rl+rl,16,0.95,0.10050272320437628
rl+rl,16,1.0,0.026583716975654238
rl+rl,32,0.25,1.0
rl+rl,32,0.5,0.997286612813136
rl+rl,32,0.75,0.9810249507623795
rl+rl,32,0.85,0.1520223485778906
rl+rl,32,0.95,0.08839974013776092
rl+rl,32,1.0,0.015569636300078262
