policy,n_cores,u_per_core,on_time,late,rejected,state
rl+rl,8,0.25,1.0,0.0,0.0,8c / u=0.25
rl+rl,8,0.5,1.0,0.0,0.0,8c / u=0.5
rl+rl,8,0.75,0.9668902754633136,0.033109724536686355,0.0,8c / u=0.75
rl+rl,8,0.85,0.18853236119195127,0.7992107738194903,0.012256864988558352,8c / u=0.85
rl+rl,8,0.95,0.12668520832455324,0.8091789967647494,0.06413579491069744,8c / u=0.95
rl+rl,8,1.0,0.0,0.7472818906264297,0.2527181093735703,8c / u=1.0
rl+rl,16,0.25,1.0,0.0,0.0,16c / u=0.25
rl+rl,16,0.5,1.0,0.0,0.0,16c / u=0.5
rl+rl,16,0.75,0.9806065441594123,0.019393455840587725,0.0,16c / u=0.75
rl+rl,16,0.85,0.13491563063354517,0.8580350077533511,0.00704936161310378,16c / u=0.85
rl+rl,16,0.95,0.08100647672190703,0.8994972767956237,0.01949624648246928,16c / u=0.95
rl+rl,16,1.0,0.0,0.8551142067112079,0.1448857932887921,16c / u=1.0
rl+rl,32,0.25,1.0,0.0,0.0,32c / u=0.25
rl+rl,32,0.5,0.997286612813136,0.0027133871868639373,0.0,32c / u=0.5
rl+rl,32,0.75,0.9772579550828644,0.022742044917135575,0.0,32c / u=0.75
rl+rl,32,0.85,0.1373671682292879,0.858210800475421,0.004422031295291076,32c / u=0.85
rl+rl,32,0.95,0.07989875585044298,0.9101798053167844,0.009921438832772536,32c / u=0.95
rl+rl,32,1.0,0.0,0.93035513444464,0.06964486555535994,32c / u=1.0
