policy,n_cores,u_per_core,schedulable
ffd+slack,8,0.25,1.0
ffd+slack,8,0.5,1.0
ffd+slack,8,0.75,1.0
ffd+slack,8,0.85,1.0
ffd+slack,8,0.95,1.0
ffd+slack,8,1.0,0.0
ffd+slack,16,0.25,1.0
ffd+slack,16,0.5,1.0
ffd+slack,16,0.75,1.0
ffd+slack,16,0.85,1.0
ffd+slack,16,0.95,1.0
ffd+slack,16,1.0,0.0
ffd+slack,32,0.25,1.0
ffd+slack,32,0.5,1.0
ffd+slack,32,0.75,1.0
ffd+slack,32,0.85,1.0
ffd+slack,32,0.95,1.0
ffd+slack,32,1.0,0.0
ga+slack,8,0.25,1.0
ga+slack,8,0.5,1.0
ga+slack,8,0.75,1.0
ga+slack,8,0.85,1.0
ga+slack,8,0.95,1.0
ga+slack,8,1.0,0.0
ga+slack,16,0.25,1.0
ga+slack,16,0.5,1.0
ga+slack,16,0.75,1.0
ga+slack,16,0.85,1.0
ga+slack,16,0.95,1.0
ga+slack,16,1.0,0.0
ga+slack,32,0.25,1.0
ga+slack,32,0.5,1.0
ga+slack,32,0.75,1.0
ga+slack,32,0.85,1.0
ga+slack,32,0.95,1.0
ga+slack,32,1.0,0.0
rl+rl,8,0.25,1.0
rl+rl,8,0.5,1.0
rl+rl,8,0.75,1.0
rl+rl,8,0.85,1.0
rl+rl,8,0.95,1.0
rl+rl,8,1.0,0.0
rl+rl,16,0.25,1.0
rl+rl,16,0.5,1.0
rl+rl,16,0.75,1.0
rl+rl,16,0.85,1.0
rl+rl,16,0.95,1.0
rl+rl,16,1.0,0.0
rl+rl,32,0.25,1.0
rl+rl,32,0.5,1.0
rl+rl,32,0.75,1.0
rl+rl,32,0.85,1.0
rl+rl,32,0.95,1.0
rl+rl,32,1.0,0.0
