policy,n_cores,u_per_core,hard_miss_ratio,metric,soft_miss_ratio
ffd+slack,8,0.25,0.0,hard_miss_ratio,
ffd+slack,8,0.5,0.0,hard_miss_ratio,
ffd+slack,8,0.75,0.0,hard_miss_ratio,
ffd+slack,8,0.85,0.0,hard_miss_ratio,
ffd+slack,8,0.95,0.0,hard_miss_ratio,
ffd+slack,8,1.0,0.0282871756121589,hard_miss_ratio,
ffd+slack,16,0.25,0.0,hard_miss_ratio,
ffd+slack,16,0.5,0.0,hard_miss_ratio,
ffd+slack,16,0.75,0.0,hard_miss_ratio,
ffd+slack,16,0.85,0.0,hard_miss_ratio,
ffd+slack,16,0.95,0.0,hard_miss_ratio,
ffd+slack,16,1.0,0.03173635500281921,hard_miss_ratio,
ffd+slack,32,0.25,0.0,hard_miss_ratio,
ffd+slack,32,0.5,0.0,hard_miss_ratio,
ffd+slack,32,0.75,0.0,hard_miss_ratio,
ffd+slack,32,0.85,0.0,hard_miss_ratio,
ffd+slack,32,0.95,0.0,hard_miss_ratio,
ffd+slack,32,1.0,0.024522979858280926,hard_miss_ratio,
ga+slack,8,0.25,0.0,hard_miss_ratio,
ga+slack,8,0.5,0.0,hard_miss_ratio,
ga+slack,8,0.75,0.0,hard_miss_ratio,
ga+slack,8,0.85,0.0,hard_miss_ratio,
ga+slack,8,0.95,0.0,hard_miss_ratio,
ga+slack,8,1.0,0.04363514540725175,hard_miss_ratio,
ga+slack,16,0.25,0.0,hard_miss_ratio,
ga+slack,16,0.5,0.0,hard_miss_ratio,
ga+slack,16,0.75,0.0,hard_miss_ratio,
ga+slack,16,0.85,0.0,hard_miss_ratio,
ga+slack,16,0.95,0.0,hard_miss_ratio,
ga+slack,16,1.0,0.031386966960413085,hard_miss_ratio,
ga+slack,32,0.25,0.0,hard_miss_ratio,
ga+slack,32,0.5,0.0,hard_miss_ratio,
ga+slack,32,0.75,0.0,hard_miss_ratio,
ga+slack,32,0.85,0.0,hard_miss_ratio,
ga+slack,32,0.95,0.0,hard_miss_ratio,
ga+slack,32,1.0,0.033930797675330165,hard_miss_ratio,
rl+rl,8,0.25,0.0,hard_miss_ratio,
rl+rl,8,0.5,0.0,hard_miss_ratio,
rl+rl,8,0.75,0.0,hard_miss_ratio,
rl+rl,8,0.85,0.0,hard_miss_ratio,
rl+rl,8,0.95,0.0,hard_miss_ratio,
rl+rl,8,1.0,0.030504742454046673,hard_miss_ratio,
rl+rl,16,0.25,0.0,hard_miss_ratio,
rl+rl,16,0.5,0.0,hard_miss_ratio,
rl+rl,16,0.75,0.0,hard_miss_ratio,
rl+rl,16,0.85,0.0,hard_miss_ratio,
rl+rl,16,0.95,0.0,hard_miss_ratio,
rl+rl,16,1.0,0.026437176868234512,hard_miss_ratio,
rl+rl,32,0.25,0.0,hard_miss_ratio,
rl+rl,32,0.5,0.0,hard_miss_ratio,
rl+rl,32,0.75,0.0,hard_miss_ratio,
rl+rl,32,0.85,0.0,hard_miss_ratio,
rl+rl,32,0.95,0.0,hard_miss_ratio,
rl+rl,32,1.0,0.0264208517118127,hard_miss_ratio,
ffd+slack,8,0.25,,soft_miss_ratio,0.0
ffd+slack,8,0.5,,soft_miss_ratio,0.0
ffd+slack,8,0.75,,soft_miss_ratio,0.29914170533704354
ffd+slack,8,0.85,,soft_miss_ratio,0.6576515204368291
ffd+slack,8,0.95,,soft_miss_ratio,0.8822839620164636
ffd+slack,8,1.0,,soft_miss_ratio,0.9911088282078473
ffd+slack,16,0.25,,soft_miss_ratio,0.0
ffd+slack,16,0.5,,soft_miss_ratio,0.0
ffd+slack,16,0.75,,soft_miss_ratio,0.324998312721065
ffd+slack,16,0.85,,soft_miss_ratio,0.8297313420347467
ffd+slack,16,0.95,,soft_miss_ratio,0.9519412925208919
ffd+slack,16,1.0,,soft_miss_ratio,1.0
ffd+slack,32,0.25,,soft_miss_ratio,0.0
ffd+slack,32,0.5,,soft_miss_ratio,0.0
ffd+slack,32,0.75,,soft_miss_ratio,0.3431540047525528
ffd+slack,32,0.85,,soft_miss_ratio,0.8382748302916133
ffd+slack,32,0.95,,soft_miss_ratio,0.9629653750381657
ffd+slack,32,1.0,,soft_miss_ratio,0.9993131868131868
ga+slack,8,0.25,,soft_miss_ratio,0.0
ga+slack,8,0.5,,soft_miss_ratio,0.0
ga+slack,8,0.75,,soft_miss_ratio,0.005
ga+slack,8,0.85,,soft_miss_ratio,0.811911971626663
ga+slack,8,0.95,,soft_miss_ratio,0.840990220305346
ga+slack,8,1.0,,soft_miss_ratio,0.9884443545236368
ga+slack,16,0.25,,soft_miss_ratio,0.0
ga+slack,16,0.5,,soft_miss_ratio,0.0
ga+slack,16,0.75,,soft_miss_ratio,0.0
ga+slack,16,0.85,,soft_miss_ratio,0.74781199048244
ga+slack,16,0.95,,soft_miss_ratio,0.6244719010601127
ga+slack,16,1.0,,soft_miss_ratio,0.9972067901234568
ga+slack,32,0.25,,soft_miss_ratio,0.0
ga+slack,32,0.5,,soft_miss_ratio,0.0
ga+slack,32,0.75,,soft_miss_ratio,0.03609232578653336
ga+slack,32,0.85,,soft_miss_ratio,0.5615748408087793
ga+slack,32,0.95,,soft_miss_ratio,0.5234325133926792
ga+slack,32,1.0,,soft_miss_ratio,0.996456000194133
rl+rl,8,0.25,,soft_miss_ratio,0.0
rl+rl,8,0.5,,soft_miss_ratio,0.0
rl+rl,8,0.75,,soft_miss_ratio,0.033109724536686355
rl+rl,8,0.85,,soft_miss_ratio,0.7992107738194903
rl+rl,8,0.95,,soft_miss_ratio,0.8091789967647494
rl+rl,8,1.0,,soft_miss_ratio,0.9584182221194556
rl+rl,16,0.25,,soft_miss_ratio,0.0
rl+rl,16,0.5,,soft_miss_ratio,0.0
rl+rl,16,0.75,,soft_miss_ratio,0.019393455840587725
rl+rl,16,0.85,,soft_miss_ratio,0.8580350077533511
rl+rl,16,0.95,,soft_miss_ratio,0.8994972767956237
rl+rl,16,1.0,,soft_miss_ratio,0.9734162830243457
rl+rl,32,0.25,,soft_miss_ratio,0.0
rl+rl,32,0.5,,soft_miss_ratio,0.0027133871868639373
rl+rl,32,0.75,,soft_miss_ratio,0.022742044917135575
rl+rl,32,0.85,,soft_miss_ratio,0.858210800475421
rl+rl,32,0.95,,soft_miss_ratio,0.911600259862239
rl+rl,32,1.0,,soft_miss_ratio,0.9844303636999217
