policy,n_cores,u_per_core,energy_j
ffd+slack,8,0.25,2.9978399719008273
ffd+slack,8,0.5,4.59531087805326
ffd+slack,8,0.75,6.199702078512396
ffd+slack,8,0.85,6.751970945454542
ffd+slack,8,0.95,7.18948497979798
ffd+slack,8,1.0,7.599959499999997
ffd+slack,16,0.25,5.605759947107437
ffd+slack,16,0.5,8.800056893617997
ffd+slack,16,0.75,11.994174771074377
ffd+slack,16,0.85,13.01615053636363
ffd+slack,16,0.95,14.128857776859505
ffd+slack,16,1.0,14.799971
ffd+slack,32,0.25,10.88146819256198
ffd+slack,32,0.5,17.27414294628099
ffd+slack,32,0.75,23.65818205041322
ffd+slack,32,0.85,25.829340387603317
ffd+slack,32,0.95,27.953275539210296
ffd+slack,32,1.0,29.199983999999994
ga+slack,8,0.25,2.8828134944903576
ga+slack,8,0.5,4.474173401377411
ga+slack,8,0.75,5.769234719972452
ga+slack,8,0.85,6.007029943434344
ga+slack,8,0.95,7.227732305785124
ga+slack,8,1.0,7.6
ga+slack,16,0.25,5.395679061248852
ga+slack,16,0.5,8.491338503213955
ga+slack,16,0.75,11.22027303420569
ga+slack,16,0.85,11.97223812612489
ga+slack,16,0.95,14.727058962809913
ga+slack,16,1.0,14.799967500000003
ga+slack,32,0.25,10.10017539674013
ga+slack,32,0.5,15.956026706611567
ga+slack,32,0.75,22.062826828558325
ga+slack,32,0.85,24.02288371629936
ga+slack,32,0.95,29.143848487603325
ga+slack,32,1.0,29.20000000000001
rl+rl,8,0.25,2.7947315248393014
rl+rl,8,0.5,4.4159969878787875
rl+rl,8,0.75,5.73842191606979
rl+rl,8,0.85,6.027903660743801
rl+rl,8,0.95,7.1513904324150595
rl+rl,8,1.0,7.5726974876033015
rl+rl,16,0.25,5.019761617998162
rl+rl,16,0.5,8.403933452571168
rl+rl,16,0.75,11.141440829155187
rl+rl,16,0.85,11.695853726629977
rl+rl,16,0.95,13.749341678741972
rl+rl,16,1.0,14.793979500000003
rl+rl,32,0.25,9.753472665886134
rl+rl,32,0.5,16.393422872451804
rl+rl,32,0.75,22.032871008861342
rl+rl,32,0.85,23.034915620385586
rl+rl,32,0.95,27.012959285904515
rl+rl,32,1.0,29.188406999999994
