core,energy_j,mean_power_w,busy_ratio,level
0,0.8884799999999994,4.4423999999999975,0.9856,100
1,0.8423999999999997,4.211999999999999,0.928,100
2,0.8279999999999997,4.139999999999999,0.91,100
3,0.8100479999999991,4.050239999999996,0.88756,100
4,0.7934399999999995,3.967199999999998,0.8668,100
5,0.5818607191919193,2.9093035959595968,0.97493,80
6,0.5881673696969697,2.9408368484848486,0.98769,80
7,0.6165446479338852,3.082723239669426,0.81298,90
8,0.6985552760330589,3.492776380165295,0.942055,90
9,0.45255029090909105,2.2627514545454552,0.940445,70
10,0.5883724841138659,2.9418624205693296,0.988105,80
11,0.5935127008264462,2.9675635041322317,0.998505,80
12,0.6715170247933887,3.3575851239669436,0.8995,90
13,0.5927416683195592,2.9637083415977963,0.996945,80
14,0.47380576198347096,2.369028809917355,0.997145,70
15,0.7058715834710747,3.529357917355374,0.95357,90
