start,end,power_w
0,19838,114.72433425160698
19838,20000,112.25307621671259
20000,24145,114.72433425160698
24145,25000,110.72433425160698
25000,34212,114.72433425160698
34212,35939,110.72433425160698
35939,36322,108.25307621671259
36322,38740,104.25307621671259
38740,39030,103.28154269972453
39030,39152,104.25307621671259
39152,39299,101.07621671258035
39299,39516,98.60495867768596
39516,39802,94.60495867768596
39802,40000,92.73057851239669
40000,44026,114.72433425160698
44026,45178,111.54747474747475
45178,46507,107.54747474747475
46507,48975,103.54747474747475
48975,49777,99.54747474747475
49777,50000,95.54747474747475
50000,59838,114.72433425160698
59838,60000,112.25307621671259
60000,66893,114.72433425160698
66893,72824,110.72433425160698
72824,72859,106.72433425160698
72859,73031,110.72433425160698
73031,75000,106.72433425160698
75000,76322,110.72433425160698
76322,78481,106.72433425160698
78481,78664,104.25307621671259
78664,78909,106.72433425160698
78909,79298,110.72433425160698
79298,79299,109.75280073461892
79299,79516,107.28154269972453
79516,79893,103.28154269972453
79893,80000,101.40716253443526
80000,89765,114.72433425160698
89765,90000,110.72433425160698
90000,91784,114.72433425160698
91784,95118,110.72433425160698
95118,95178,106.72433425160698
95178,96507,102.72433425160698
96507,97664,98.72433425160698
97664,98203,95.54747474747475
98203,98204,91.54747474747475
98204,98354,87.54747474747475
98354,98954,84.37061524334251
98954,99299,80.37061524334251
99299,99534,77.89935720844812
99534,99920,76.02497704315886
99920,100000,72.02497704315886
100000,106349,114.72433425160698
106349,110000,110.72433425160698
110000,116207,114.72433425160698
116207,116322,110.72433425160698
116322,118484,106.72433425160698
118484,118729,105.75280073461892
118729,118735,106.72433425160698
118735,118941,104.25307621671259
118941,119838,102.37869605142332
119838,120000,99.90743801652893
120000,124145,114.72433425160698
124145,125000,110.72433425160698
125000,139299,114.72433425160698
139299,139516,112.25307621671259
139516,140000,108.25307621671259
140000,145178,114.72433425160698
145178,148954,110.72433425160698
148954,150000,106.72433425160698
150000,158839,114.72433425160698
158839,158877,112.25307621671259
158877,159158,111.28154269972453
159158,159838,112.25307621671259
159838,159941,109.78181818181818
159941,160000,107.90743801652893
160000,179299,114.72433425160698
179299,179516,112.25307621671259
179516,180000,108.25307621671259
180000,182180,114.72433425160698
182180,187279,110.72433425160698
187279,190000,106.72433425160698
190000,191679,114.72433425160698
191679,192058,112.25307621671259
192058,192386,108.25307621671259
192386,193332,104.25307621671259
193332,193569,103.28154269972453
193569,194474,99.28154269972453
194474,194924,95.28154269972453
194924,195118,91.28154269972453
195118,195178,87.28154269972453
195178,196046,83.28154269972453
196046,197043,81.40716253443526
197043,197896,79.532782369146
197896,197941,75.532782369146
197941,197965,71.532782369146
197965,198009,69.0615243342516
198009,198048,65.0615243342516
198048,198363,64.08999081726355
198363,198384,60.913131313131316
198384,198496,57.736271808999085
198496,198841,55.861891643709825
198841,198954,51.861891643709825
198954,198972,47.861891643709825
198972,199134,44.685032139577594
199134,199272,42.213774104683196
199272,199297,39.7425160697888
199297,199299,35.7425160697888
199299,199338,30.8
199338,199386,27.62314049586777
199386,199657,23.62314049586777
199657,199789,21.748760330578513
199789,199891,19.874380165289256
199891,200000,18.0
