kind,id,period_ticks,deadline_ticks,wcet_ticks,utilization,core,core_level,weight
hard,0,20000,20000,2064,0.1032,5,80,1.0
hard,1,200000,200000,45923,0.229615,14,70,1.0
hard,2,20000,20000,1516,0.0758,15,90,1.0
hard,3,20000,20000,6145,0.30725,12,90,1.0
hard,4,10000,10000,114,0.0114,1,100,1.0
hard,5,10000,10000,1941,0.1941,14,70,1.0
hard,6,100000,100000,42862,0.42862,8,90,1.0
hard,7,25000,25000,2194,0.08776,8,90,1.0
hard,8,100000,100000,1451,0.01451,5,80,1.0
hard,9,50000,50000,7949,0.15898,15,90,1.0
hard,10,200000,200000,1821,0.009105,15,90,1.0
hard,11,40000,40000,5499,0.137475,11,80,1.0
hard,12,100000,100000,17030,0.1703,4,100,1.0
hard,13,100000,100000,9577,0.09577,11,80,1.0
hard,14,10000,10000,10,0.001,13,80,1.0
hard,15,40000,40000,435,0.010875,12,90,1.0
hard,16,40000,40000,6530,0.16325,9,70,1.0
hard,17,25000,25000,1473,0.05892,5,80,1.0
hard,18,40000,40000,6000,0.15,10,80,1.0
hard,19,25000,25000,3442,0.13768,7,90,1.0
hard,20,40000,40000,2114,0.05285,11,80,1.0
hard,21,100000,100000,19500,0.195,15,90,1.0
hard,22,100000,100000,6903,0.06903,11,80,1.0
hard,23,50000,50000,3877,0.07754,4,100,1.0
hard,24,50000,50000,816,0.01632,15,90,1.0
hard,25,200000,200000,100097,0.500485,6,80,1.0
hard,26,50000,50000,3633,0.07266,7,90,1.0
hard,27,25000,25000,443,0.01772,7,90,1.0
hard,28,10000,10000,79,0.0079,15,90,1.0
hard,29,40000,40000,39424,0.9856,0,100,1.0
hard,30,20000,20000,661,0.03305,13,80,1.0
hard,31,50000,50000,220,0.0044,11,80,1.0
hard,32,10000,10000,105,0.0105,8,90,1.0
hard,33,100000,100000,45608,0.45608,7,90,1.0
hard,34,200000,200000,1331,0.006655,10,80,1.0
hard,35,20000,20000,578,0.0289,6,80,1.0
hard,36,100000,100000,4994,0.04994,14,70,1.0
hard,37,25000,25000,4781,0.19124,13,80,1.0
hard,38,10000,10000,3787,0.3787,9,70,1.0
hard,39,200000,200000,11538,0.05769,10,80,1.0
hard,40,200000,200000,4311,0.021555,4,100,1.0
hard,41,10000,10000,3633,0.3633,10,80,1.0
hard,42,50000,50000,8495,0.1699,14,70,1.0
hard,43,100000,100000,22703,0.22703,15,90,1.0
hard,44,100000,100000,2050,0.0205,10,80,1.0
hard,45,25000,25000,22189,0.88756,3,100,1.0
hard,46,200000,200000,16555,0.082775,8,90,1.0
hard,47,100000,100000,13403,0.13403,12,90,1.0
hard,48,10000,10000,9166,0.9166,1,100,1.0
hard,49,10000,10000,795,0.0795,15,90,1.0
hard,50,10000,10000,9100,0.91,2,100,1.0
hard,51,25000,25000,1387,0.05548,10,80,1.0
hard,52,10000,10000,1399,0.1399,13,80,1.0
hard,53,10000,10000,164,0.0164,12,90,1.0
hard,54,20000,20000,11557,0.57785,4,100,1.0
hard,55,50000,50000,1752,0.03504,13,80,1.0
hard,56,40000,40000,20592,0.5148,5,80,1.0
hard,57,20000,20000,3549,0.17745,12,90,1.0
hard,58,200000,200000,28326,0.14163,8,90,1.0
hard,59,50000,50000,331,0.00662,4,100,1.0
hard,60,50000,50000,6674,0.13348,6,80,1.0
hard,61,200000,200000,61973,0.309865,11,80,1.0
hard,62,100000,100000,24339,0.24339,13,80,1.0
hard,63,10000,10000,776,0.0776,12,90,1.0
soft,0,,12902,2631,,,,1.0
soft,1,,9750,1237,,,,1.0
soft,2,,36102,4935,,,,1.0
soft,3,,9815,2079,,,,1.0
soft,4,,9287,1255,,,,1.0
soft,5,,13488,1731,,,,1.0
soft,6,,14884,3514,,,,1.0
soft,7,,29204,4443,,,,1.0
soft,8,,26561,4574,,,,1.0
soft,9,,26129,4641,,,,1.0
soft,10,,18162,3101,,,,1.0
soft,11,,38888,4928,,,,1.0
soft,12,,26684,4194,,,,1.0
soft,13,,10519,1750,,,,1.0
soft,14,,20228,3010,,,,1.0
soft,15,,9943,3000,,,,1.0
soft,16,,16746,2273,,,,1.0
soft,17,,17620,2580,,,,1.0
soft,18,,11311,3375,,,,1.0
soft,19,,7094,1294,,,,1.0
soft,20,,15914,2428,,,,1.0
soft,21,,15786,2272,,,,1.0
soft,22,,14475,2056,,,,1.0
soft,23,,7003,1789,,,,1.0
soft,24,,25372,3590,,,,1.0
soft,25,,22137,2925,,,,1.0
soft,26,,6187,1337,,,,1.0
soft,27,,13715,2527,,,,1.0
soft,28,,31912,4878,,,,1.0
soft,29,,6211,1347,,,,1.0
soft,30,,13471,2648,,,,1.0
soft,31,,12330,2449,,,,1.0
soft,32,,8072,2185,,,,1.0
soft,33,,34863,4408,,,,1.0
soft,34,,17612,2238,,,,1.0
soft,35,,37232,4919,,,,1.0
soft,36,,6923,1549,,,,1.0
soft,37,,13203,3806,,,,1.0
soft,38,,14450,2810,,,,1.0
soft,39,,10497,2905,,,,1.0
soft,40,,17999,2405,,,,1.0
soft,41,,28164,4295,,,,1.0
soft,42,,29572,4185,,,,1.0
soft,43,,12062,3129,,,,1.0
soft,44,,24682,4154,,,,1.0
soft,45,,20166,2757,,,,1.0
soft,46,,11795,3439,,,,1.0
soft,47,,17818,4596,,,,1.0
soft,48,,27732,3593,,,,1.0
soft,49,,7235,2319,,,,1.0
soft,50,,10255,1773,,,,1.0
soft,51,,12723,4157,,,,1.0
soft,52,,29344,4845,,,,1.0
soft,53,,21044,3584,,,,1.0
soft,54,,15164,4033,,,,1.0
soft,55,,17290,4695,,,,1.0
soft,56,,12468,2648,,,,1.0
soft,57,,27284,4605,,,,1.0
soft,58,,5879,1903,,,,1.0
soft,59,,10162,1290,,,,1.0
soft,60,,11914,2863,,,,1.0
soft,61,,17095,2579,,,,1.0
soft,62,,18373,3579,,,,1.0
soft,63,,23785,3079,,,,1.0
soft,64,,5115,1032,,,,1.0
soft,65,,27464,4289,,,,1.0
soft,66,,33436,4420,,,,1.0
soft,67,,25380,3765,,,,1.0
soft,68,,19256,4801,,,,1.0
soft,69,,7824,2587,,,,1.0
soft,70,,9636,2493,,,,1.0
soft,71,,28456,4323,,,,1.0
soft,72,,26405,3675,,,,1.0
