config,generation,best_cost
"8 cores, u=0.5",0,-0.12164343708136596
"8 cores, u=0.5",1,-0.12553703461429225
"8 cores, u=0.5",2,-0.17379976844025297
"8 cores, u=0.5",3,-0.17379976844025297
"8 cores, u=0.5",4,-0.19200189414670824
"8 cores, u=0.5",5,-0.19357163436165456
"8 cores, u=0.5",6,-0.19357163436165456
"8 cores, u=0.5",7,-0.19959470871061893
"8 cores, u=0.5",8,-0.19959470871061893
"8 cores, u=0.5",9,-0.19959470871061893
"8 cores, u=0.5",10,-0.20234030257936464
"8 cores, u=0.5",11,-0.20234030257936464
"8 cores, u=0.5",12,-0.20234030257936464
"8 cores, u=0.5",13,-0.21788698996496073
"8 cores, u=0.5",14,-0.2210031273268954
"8 cores, u=0.5",15,-0.2210031273268954
"8 cores, u=0.5",16,-0.2210031273268954
"8 cores, u=0.5",17,-0.2313204293964272
"8 cores, u=0.5",18,-0.2313204293964272
"8 cores, u=0.5",19,-0.2313204293964272
"8 cores, u=0.5",20,-0.2313204293964272
"8 cores, u=0.5",21,-0.2313204293964272
"8 cores, u=0.5",22,-0.2313204293964272
"8 cores, u=0.5",23,-0.2313204293964272
"8 cores, u=0.5",24,-0.2326500066299163
"8 cores, u=0.5",25,-0.2326500066299163
"8 cores, u=0.5",26,-0.2326500066299163
"8 cores, u=0.5",27,-0.2326500066299163
"8 cores, u=0.5",28,-0.2326500066299163
"8 cores, u=0.5",29,-0.2326500066299163
"8 cores, u=0.5",30,-0.2326500066299163
"8 cores, u=0.5",31,-0.2326500066299163
"8 cores, u=0.5",32,-0.2326500066299163
"8 cores, u=0.5",33,-0.2326500066299163
"8 cores, u=0.5",34,-0.2326500066299163
"8 cores, u=0.5",35,-0.2326500066299163
"8 cores, u=0.5",36,-0.2326500066299163
"8 cores, u=0.5",37,-0.2326500066299163
"8 cores, u=0.5",38,-0.2326500066299163
"8 cores, u=0.5",39,-0.24494059606794438
"8 cores, u=0.5",40,-0.24494059606794438
"8 cores, u=0.5",41,-0.24494059606794438
"8 cores, u=0.5",42,-0.24494059606794438
"8 cores, u=0.5",43,-0.24571861159933947
"8 cores, u=0.5",44,-0.24571861159933947
"8 cores, u=0.5",45,-0.25039178130909323
"8 cores, u=0.5",46,-0.25101691056410746
"8 cores, u=0.5",47,-0.25101691056410746
"8 cores, u=0.5",48,-0.25101691056410746
"8 cores, u=0.5",49,-0.25101691056410746
"8 cores, u=0.5",50,-0.25101691056410746
"8 cores, u=0.5",51,-0.25101691056410746
"8 cores, u=0.5",52,-0.25101691056410746
"8 cores, u=0.5",53,-0.25101691056410746
"8 cores, u=0.5",54,-0.25101691056410746
"8 cores, u=0.5",55,-0.25101691056410746
"8 cores, u=0.5",56,-0.25101691056410746
"8 cores, u=0.5",57,-0.25101691056410746
"8 cores, u=0.5",58,-0.25101691056410746
"8 cores, u=0.5",59,-0.25101691056410746
"8 cores, u=0.5",60,-0.25103556890580275
"8 cores, u=0.5",61,-0.25103556890580275
"8 cores, u=0.5",62,-0.25103556890580275
"8 cores, u=0.5",63,-0.25103556890580275
"8 cores, u=0.5",64,-0.25103556890580275
"8 cores, u=0.5",65,-0.25103556890580275
"8 cores, u=0.5",66,-0.25103859079043855
"8 cores, u=0.5",67,-0.25103859079043855
"8 cores, u=0.5",68,-0.25103859079043855
"8 cores, u=0.5",69,-0.2524706361728561
"8 cores, u=0.5",70,-0.2524706361728561
"8 cores, u=0.5",71,-0.2524706361728561
"8 cores, u=0.5",72,-0.2524706361728561
"8 cores, u=0.5",73,-0.2533125918294862
"8 cores, u=0.5",74,-0.25580564219333124
"8 cores, u=0.5",75,-0.25580564219333124
"8 cores, u=0.5",76,-0.25638626865750047
"8 cores, u=0.5",77,-0.25638626865750047
"8 cores, u=0.5",78,-0.25638626865750047
"8 cores, u=0.5",79,-0.25638626865750047
"8 cores, u=0.5",80,-0.25638626865750047
"16 cores, u=0.75",0,0.5993418708203351
"16 cores, u=0.75",1,0.5993418708203351
"16 cores, u=0.75",2,0.5993418708203351
"16 cores, u=0.75",3,0.5713962107747989
"16 cores, u=0.75",4,0.5713962107747989
"16 cores, u=0.75",5,0.5713962107747989
"16 cores, u=0.75",6,0.5713962107747989
"16 cores, u=0.75",7,0.5523073630891939
"16 cores, u=0.75",8,0.540621452156373
"16 cores, u=0.75",9,0.5359696869560127
"16 cores, u=0.75",10,0.49407924145855536
"16 cores, u=0.75",11,0.4838673981642395
"16 cores, u=0.75",12,0.4838673981642395
"16 cores, u=0.75",13,0.483541539375182
"16 cores, u=0.75",14,0.4738239360947286
"16 cores, u=0.75",15,0.46769267685220894
"16 cores, u=0.75",16,0.46769267685220894
"16 cores, u=0.75",17,0.46769267685220894
"16 cores, u=0.75",18,0.46769267685220894
"16 cores, u=0.75",19,0.46769267685220894
"16 cores, u=0.75",20,0.46769267685220894
"16 cores, u=0.75",21,0.46769267685220894
"16 cores, u=0.75",22,0.46141302875829404
"16 cores, u=0.75",23,0.4533171698083244
"16 cores, u=0.75",24,0.4533171698083244
"16 cores, u=0.75",25,0.4533171698083244
"16 cores, u=0.75",26,0.4533171698083244
"16 cores, u=0.75",27,0.4533171698083244
"16 cores, u=0.75",28,0.45308905026561375
"16 cores, u=0.75",29,0.45308905026561375
"16 cores, u=0.75",30,0.45308905026561375
"16 cores, u=0.75",31,0.45308905026561375
"16 cores, u=0.75",32,0.45308905026561375
"16 cores, u=0.75",33,0.45308905026561375
"16 cores, u=0.75",34,0.45308905026561375
"16 cores, u=0.75",35,0.45308905026561375
"16 cores, u=0.75",36,0.45308905026561375
"16 cores, u=0.75",37,0.45308905026561375
"16 cores, u=0.75",38,0.45308905026561375
"16 cores, u=0.75",39,0.45267403843815607
"16 cores, u=0.75",40,0.45267403843815607
"16 cores, u=0.75",41,0.45267403843815607
