n_cores,tasks_per_core,u_per_core,schedulable
8,2,0.25,1.0
8,2,0.5,1.0
8,2,0.75,1.0
8,2,0.85,1.0
8,2,0.95,0.25
8,2,1.0,0.0
8,3,0.25,1.0
8,3,0.5,1.0
8,3,0.75,1.0
8,3,0.85,1.0
8,3,0.95,1.0
8,3,1.0,0.0
8,4,0.25,1.0
8,4,0.5,1.0
8,4,0.75,1.0
8,4,0.85,1.0
8,4,0.95,1.0
8,4,1.0,0.0
16,2,0.25,1.0
16,2,0.5,1.0
16,2,0.75,1.0
16,2,0.85,1.0
16,2,0.95,0.5
16,2,1.0,0.0
16,3,0.25,1.0
16,3,0.5,1.0
16,3,0.75,1.0
16,3,0.85,1.0
16,3,0.95,0.625
16,3,1.0,0.0
16,4,0.25,1.0
16,4,0.5,1.0
16,4,0.75,1.0
16,4,0.85,1.0
16,4,0.95,1.0
16,4,1.0,0.0
32,2,0.25,1.0
32,2,0.5,1.0
32,2,0.75,1.0
32,2,0.85,1.0
32,2,0.95,0.875
32,2,1.0,0.0
32,3,0.25,1.0
32,3,0.5,1.0
32,3,0.75,1.0
32,3,0.85,1.0
32,3,0.95,1.0
32,3,1.0,0.0
32,4,0.25,1.0
32,4,0.5,1.0
32,4,0.75,1.0
32,4,0.85,1.0
32,4,0.95,1.0
32,4,1.0,0.0
