offline_policy,online_policy,policy,n_cores,u_per_core,seed,n_tasks,total_utilization,solve_seconds,sim_seconds,offline_feasible,n_hard_jobs,n_soft_jobs,hard_miss_ratio,soft_miss_ratio,deadline_miss_ratio,acceptance_ratio,qos_mean,qos_weighted,qos_accepted,soft_response_mean_ticks,schedulable,energy_j,mean_chip_power_w,peak_chip_power_w,tdp_w,tdp_violation_ratio,mean_core_power_w,mean_core_busy_ratio,mean_core_level,sim_steps,horizon_ticks,tasks_per_core
ga,slack,ga+slack,8,0.25,0,16,1.9999149999999999,1.6059939530005067,0.013391741000305046,True,191,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5435.789473684211,True,2.9663031654729135,14.83151582736457,23.35831037649219,30.400000000000002,0.0,1.6039394784205703,0.39864875,72.5,291,200000,2
ga,slack,ga+slack,8,0.25,1,16,2.00001,1.5892255420003494,0.011260376000791439,True,150,32,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4817.0,True,2.833093256198344,14.165466280991723,22.26446280991735,30.400000000000002,0.0,1.5206832851239662,0.390173125,70.0,238,200000,2
ga,slack,ga+slack,8,0.25,2,16,2.000065,1.609593852999751,0.01010469199900399,True,97,40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5216.325,True,2.8898503250688696,14.449251625344349,22.26446280991735,30.400000000000002,0.0,1.5561564531680434,0.42873937500000003,70.0,201,200000,2
ga,slack,ga+slack,8,0.25,3,16,2.00002,0.605731128998741,0.006514415001220186,True,95,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4902.119047619048,True,2.889518380165288,14.44759190082644,22.26446280991735,30.400000000000002,0.0,1.5559489876033064,0.426146875,70.0,203,200000,2
ga,slack,ga+slack,8,0.25,4,16,2.000015,0.8904234250003356,0.006322833000012906,True,75,44,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5212.75,True,2.9349495757575736,14.67474787878787,22.26446280991735,30.400000000000002,0.0,1.5843434848484852,0.43761375,70.0,179,200000,2
ga,slack,ga+slack,8,0.25,5,16,1.999985,1.5865205109985254,0.01182951100054197,True,99,47,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5418.95744680851,True,2.9655105461891647,14.827552730945824,21.4574839302112,30.400000000000002,0.0,1.6034440913682282,0.432863125,71.25,216,200000,2
ga,slack,ga+slack,8,0.25,6,16,2.0,1.5993444190007722,0.009135735999734607,True,111,31,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5140.548387096775,True,2.839167658402205,14.195838292011025,22.26446280991735,30.400000000000002,0.0,1.5244797865013777,0.39369812499999995,70.0,193,200000,2
ga,slack,ga+slack,8,0.25,7,16,2.000035,0.6450763570010167,0.005577719999564579,True,68,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4722.341463414634,True,2.8663934545454546,14.331967272727274,22.26446280991735,30.400000000000002,0.0,1.5414959090909088,0.41999624999999996,70.0,166,200000,2
ga,slack,ga+slack,8,0.5,0,16,4.000005,0.7873083279991988,0.005571927000346477,True,84,33,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4965.181818181818,True,4.633747041322314,23.168735206611572,30.132231404958677,30.400000000000002,0.0,2.6460919008264474,0.6030425,85.0,174,200000,2
ga,slack,ga+slack,8,0.5,1,16,3.9999,0.631820851998782,0.007035476999590173,True,150,32,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4817.0,True,4.566056022038565,22.830280110192827,30.132231404958677,30.400000000000002,0.0,2.603785013774104,0.6076349999999999,85.0,238,200000,2
ga,slack,ga+slack,8,0.5,2,16,3.999985,0.6334188949986128,0.006583096999747795,True,97,40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5007.725,True,4.593411603305785,22.967058016528924,30.132231404958677,30.400000000000002,0.0,2.6208822520661146,0.653381875,85.0,201,200000,2
ga,slack,ga+slack,8,0.5,3,16,3.99988,0.587313150999762,0.007189164000010351,True,95,42,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4770.809523809524,True,4.5556050137741035,22.77802506887052,30.132231404958677,30.400000000000002,0.0,2.5972531336088145,0.659933125,85.0,203,200000,2
ga,slack,ga+slack,8,0.5,4,16,4.0000100000000005,0.6585045470001205,0.006319813999652979,True,75,44,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5023.204545454545,True,4.623324167493112,23.11662083746556,29.30909090909091,30.400000000000002,0.0,2.639577604683196,0.65979,83.75,179,200000,2
ga,slack,ga+slack,8,0.5,5,16,4.0,0.6151512829983403,0.007582715999888023,True,99,47,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4905.659574468085,True,4.645633002754819,23.228165013774095,30.132231404958677,30.400000000000002,0.0,2.6535206267217646,0.6678143750000001,85.0,216,200000,2
ga,slack,ga+slack,8,0.5,6,16,3.999965,0.8507866599993577,0.005657005000102799,True,111,31,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5140.548387096775,True,4.513070391184572,22.56535195592286,30.132231404958677,30.400000000000002,0.0,2.5706689944903585,0.6256200000000001,85.0,193,200000,2
ga,slack,ga+slack,8,0.5,7,16,3.99993,0.7709820979998767,0.007207214999652933,True,135,41,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5323.024390243902,True,4.666708738292011,23.333543691460058,30.132231404958677,30.400000000000002,0.0,2.6666929614325046,0.650875,85.0,241,200000,2
