policy,n_cores,u_per_core,schedulable_mean,hard_miss_ratio_mean,soft_miss_ratio_mean,qos_mean_mean,qos_weighted_mean,acceptance_ratio_mean,energy_j_mean,mean_chip_power_w_mean,peak_chip_power_w_mean,tdp_violation_ratio_mean,mean_core_level_mean,schedulable_std,hard_miss_ratio_std,soft_miss_ratio_std,qos_mean_std,qos_weighted_std,acceptance_ratio_std,energy_j_std,mean_chip_power_w_std,peak_chip_power_w_std,tdp_violation_ratio_std,mean_core_level_std
ffd+slack,8,0.25,1.0,0.0,0.0,1.0,1.0,1.0,2.9978,14.9892,17.2397,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.1652,0.4898,0.0,0.0
ffd+slack,8,0.5,1.0,0.0,0.0,1.0,1.0,1.0,4.5953,22.9766,24.9108,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388,0.1942,0.9026,0.0,0.0
ffd+slack,8,0.75,1.0,0.0,0.2991,0.8539,0.8539,1.0,6.1997,30.9985,31.2959,0.8917,85.0,0.0,0.0,0.1931,0.1333,0.1333,0.0,0.0196,0.0979,0.0,0.0603,0.0
ffd+slack,8,0.85,1.0,0.0,0.6577,0.4534,0.4534,1.0,6.752,33.7599,33.8248,0.9986,91.25,0.0,0.0,0.1238,0.1286,0.1286,0.0,0.0039,0.0193,0.0,0.0017,0.0
ffd+slack,8,0.95,1.0,0.0,0.8823,0.1177,0.1177,1.0,7.1895,35.9474,35.949,1.0,96.4062,0.0,0.0,0.0585,0.0585,0.0585,0.0,0.0416,0.2082,0.211,0.0,0.4419
ffd+slack,8,1.0,0.0,0.0283,0.9911,0.0089,0.0089,1.0,7.6,37.9998,38.0,1.0,100.0,0.0,0.0107,0.0123,0.0123,0.0123,0.0,0.0001,0.0004,0.0,0.0,0.0
ffd+slack,16,0.25,1.0,0.0,0.0,1.0,1.0,1.0,5.6058,28.0288,32.4793,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598,0.299,1.1487,0.0,0.0
ffd+slack,16,0.5,1.0,0.0,0.0,1.0,1.0,1.0,8.8001,44.0003,47.4063,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0604,0.3022,0.3321,0.0,0.0
ffd+slack,16,0.75,1.0,0.0,0.325,0.839,0.839,1.0,11.9942,59.9709,60.5917,0.8246,85.0,0.0,0.0,0.1967,0.1282,0.1282,0.0,0.0389,0.1945,0.0,0.0623,0.0
ffd+slack,16,0.85,1.0,0.0,0.8297,0.2801,0.2801,1.0,13.0162,65.0808,65.1702,0.9997,90.625,0.0,0.0,0.0301,0.0402,0.0402,0.0,0.0083,0.0415,0.0,0.0004,0.0
ffd+slack,16,0.95,1.0,0.0,0.9519,0.0619,0.0619,1.0,14.1289,70.6443,70.6479,1.0,96.25,0.0,0.0,0.0216,0.0155,0.0155,0.0,0.0009,0.0046,0.0,0.0001,0.0
ffd+slack,16,1.0,0.0,0.0317,1.0,0.0,0.0,1.0,14.8,73.9999,74.0,1.0,100.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0
ffd+slack,32,0.25,1.0,0.0,0.0,1.0,1.0,1.0,10.8815,54.4073,61.5008,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778,0.3892,1.4174,0.0,0.0
